From Book,From Book Number,From Chapter,From Chapter in Bible,From Verse Number,To Book,To Book Number,To Chapter,To Chapter in Bible,To Verse Number
Galatians,48,5,1095,22,Ephesians,49,5,1101,9
Ephesians,49,5,1101,25,Ephesians,49,5,1101,28
Philippians,50,2,1104,3,Ephesians,49,5,1101,21
Philippians,50,4,1106,6,Ephesians,49,5,1101,20
Colossians,51,3,1109,16,Ephesians,49,5,1101,19
Colossians,51,3,1109,17,Ephesians,49,5,1101,20
Colossians,51,4,1110,5,Ephesians,49,5,1101,15
1 Thessalonians,52,5,1115,18,Ephesians,49,5,1101,20
2 Thessalonians,53,2,1117,3,Ephesians,49,5,1101,6
Genesis,1,3,2,1,2 Corinthians,47,11,1088,3
Hebrews,58,11,1143,1,2 Corinthians,47,11,1088,17
Genesis,1,3,2,1,Revelation,66,12,1178,9
Genesis,1,3,2,15,Revelation,66,12,1178,17
Luke,42,14,986,26,Revelation,66,12,1178,11
John,43,8,1004,44,Revelation,66,12,1178,9
Revelation,66,13,1179,1,Revelation,66,12,1178,3
Genesis,1,3,2,15,Romans,45,16,1061,20
Luke,42,10,982,19,Romans,45,16,1061,20
Ephesians,49,3,1099,20,Romans,45,16,1061,25
Philippians,50,3,1105,19,Romans,45,16,1061,18
3 John,64,1,1165,1,Romans,45,16,1061,23
Genesis,1,3,2,15,1 John,62,3,1161,8
Psalm,19,31,508,19,1 John,62,3,1161,1
Matthew,40,7,935,7,1 John,62,3,1161,22
Mark,41,11,967,24,1 John,62,3,1161,22
Luke,42,10,982,27,1 John,62,3,1161,18
Luke,42,11,983,9,1 John,62,3,1161,22
Luke,42,11,983,28,1 John,62,3,1161,21
John,43,1,997,12,1 John,62,3,1161,1
John,43,3,999,3,1 John,62,3,1161,9
John,43,6,1002,29,1 John,62,3,1161,23
John,43,13,1009,34,1 John,62,3,1161,23
John,43,13,1009,35,1 John,62,3,1161,10
John,43,15,1011,7,1 John,62,3,1161,22
Romans,45,5,1050,8,1 John,62,3,1161,16
Romans,45,8,1053,29,1 John,62,3,1161,2
Romans,45,12,1057,2,1 John,62,3,1161,13
2 Timothy,55,2,1126,19,1 John,62,3,1161,7
James,59,1,1146,27,1 John,62,3,1161,17
James,59,5,1150,16,1 John,62,3,1161,22
1 Peter,60,5,1155,8,1 John,62,3,1161,8
1 John,62,2,1160,15,1 John,62,3,1161,17
1 John,62,4,1162,20,1 John,62,3,1161,17
1 John,62,5,1163,14,1 John,62,3,1161,21
3 John,64,1,1165,1,1 John,62,3,1161,18
Genesis,1,4,3,10,Hebrews,58,12,1144,24
1 Samuel,9,23,258,16,Hebrews,58,12,1144,12
Psalm,19,110,587,1,Hebrews,58,12,1144,2
Proverbs,20,4,631,23,Hebrews,58,12,1144,15
Isaiah,23,40,718,31,Hebrews,58,12,1144,1
Isaiah,23,40,718,31,Hebrews,58,12,1144,3
Matthew,40,5,933,8,Hebrews,58,12,1144,14
Matthew,40,5,933,9,Hebrews,58,12,1144,14
Romans,45,8,1053,28,Hebrews,58,12,1144,6
1 Corinthians,46,10,1071,13,Hebrews,58,12,1144,4
Galatians,48,6,1096,9,Hebrews,58,12,1144,3
Ephesians,49,4,1100,22,Hebrews,58,12,1144,1
Ephesians,49,6,1102,12,Hebrews,58,12,1144,1
Philippians,50,1,1103,6,Hebrews,58,12,1144,2
Philippians,50,3,1105,13,Hebrews,58,12,1144,1
1 John,62,4,1162,18,Hebrews,58,12,1144,28
Genesis,1,12,11,3,Genesis,1,22,21,18
Matthew,40,1,929,1,Genesis,1,22,21,18
John,43,3,999,16,Genesis,1,22,21,12
Hebrews,58,11,1143,12,Genesis,1,22,21,17
Genesis,1,18,17,2,Hebrews,58,13,1145,2
Genesis,1,28,27,15,Hebrews,58,13,1145,5
Exodus,2,3,52,14,Hebrews,58,13,1145,8
Psalm,19,23,500,1,Hebrews,58,13,1145,5
Psalm,19,23,500,1,Hebrews,58,13,1145,20
Psalm,19,27,504,1,Hebrews,58,13,1145,6
Psalm,19,37,514,25,Hebrews,58,13,1145,5
Psalm,19,118,595,6,Hebrews,58,13,1145,6
Malachi,39,3,927,6,Hebrews,58,13,1145,8
Matthew,40,6,934,19,Hebrews,58,13,1145,5
John,43,1,997,1,Hebrews,58,13,1145,8
Romans,45,12,1057,1,Hebrews,58,13,1145,15
1 Corinthians,46,15,1076,58,Hebrews,58,13,1145,15
1 Corinthians,46,15,1076,58,Hebrews,58,13,1145,21
Ephesians,49,2,1098,10,Hebrews,58,13,1145,21
Ephesians,49,3,1099,20,Hebrews,58,13,1145,20
Philippians,50,1,1103,6,Hebrews,58,13,1145,20
Philippians,50,2,1104,13,Hebrews,58,13,1145,21
Colossians,51,3,1109,17,Hebrews,58,13,1145,15
1 Thessalonians,52,5,1115,18,Hebrews,58,13,1145,15
1 Timothy,54,6,1124,6,Hebrews,58,13,1145,5
Hebrews,58,4,1136,16,Hebrews,58,13,1145,6
Hebrews,58,10,1142,24,Hebrews,58,13,1145,1
1 Peter,60,5,1155,7,Hebrews,58,13,1145,5
Genesis,1,18,17,14,Luke,42,1,973,37
Psalm,19,34,511,3,Luke,42,1,973,46
Isaiah,23,7,685,14,Luke,42,1,973,31
Isaiah,23,40,718,3,Luke,42,1,973,16
Isaiah,23,40,718,3,Luke,42,1,973,76
Isaiah,23,41,719,10,Luke,42,1,973,30
Isaiah,23,41,719,10,Luke,42,1,973,13
Jeremiah,24,32,776,17,Luke,42,1,973,37
Matthew,40,19,947,26,Luke,42,1,973,37
Mark,41,10,966,27,Luke,42,1,973,37
Acts,44,1,1018,1,Luke,42,1,973,3
1 John,62,4,1162,18,Luke,42,1,973,74
Genesis,1,28,27,15,Joshua,6,1,187,5
Deuteronomy,5,31,183,6,Joshua,6,1,187,9
Deuteronomy,5,31,183,6,Joshua,6,1,187,5
Deuteronomy,5,31,183,8,Joshua,6,1,187,9
Deuteronomy,5,31,183,8,Joshua,6,1,187,5
Joshua,6,1,187,8,Joshua,6,1,187,7
Joshua,6,1,187,9,Joshua,6,1,187,6
2 Chronicles,14,15,381,7,Joshua,6,1,187,9
2 Chronicles,14,15,381,7,Joshua,6,1,187,7
Psalm,19,1,478,2,Joshua,6,1,187,8
Isaiah,23,30,708,21,Joshua,6,1,187,7
Isaiah,23,41,719,10,Joshua,6,1,187,9
1 Corinthians,46,16,1077,13,Joshua,6,1,187,9
1 Corinthians,46,16,1077,13,Joshua,6,1,187,6
Hebrews,58,13,1145,5,Joshua,6,1,187,5
Genesis,1,28,27,15,Isaiah,23,41,719,10
Deuteronomy,5,31,183,6,Isaiah,23,41,719,10
2 Kings,12,6,318,16,Isaiah,23,41,719,10
Psalm,19,23,500,4,Isaiah,23,41,719,10
Psalm,19,29,506,11,Isaiah,23,41,719,10
Psalm,19,37,514,17,Isaiah,23,41,719,10
Isaiah,23,40,718,29,Isaiah,23,41,719,10
Isaiah,23,41,719,10,Isaiah,23,41,719,13
Isaiah,23,44,722,2,Isaiah,23,41,719,10
Isaiah,23,44,722,3,Isaiah,23,41,719,17
Isaiah,23,44,722,6,Isaiah,23,41,719,4
Isaiah,23,44,722,6,Isaiah,23,41,719,14
Isaiah,23,49,727,25,Isaiah,23,41,719,11
John,43,14,1010,27,Isaiah,23,41,719,10
Philippians,50,4,1106,13,Isaiah,23,41,719,10
Hebrews,58,13,1145,6,Isaiah,23,41,719,10
Hebrews,58,13,1145,6,Isaiah,23,41,719,14
Genesis,1,28,27,15,Deuteronomy,5,31,183,6
Deuteronomy,5,31,183,6,Deuteronomy,5,31,183,23
Deuteronomy,5,31,183,8,Deuteronomy,5,31,183,6
Joshua,6,1,187,8,Deuteronomy,5,31,183,11
Joshua,6,1,187,9,Deuteronomy,5,31,183,7
Isaiah,23,41,719,10,Deuteronomy,5,31,183,6
Hebrews,58,13,1145,5,Deuteronomy,5,31,183,8
Hebrews,58,13,1145,5,Deuteronomy,5,31,183,6
Genesis,1,28,27,15,Genesis,1,26,25,24
Genesis,1,28,27,15,Jeremiah,24,1,745,19
Joshua,6,1,187,9,Jeremiah,24,1,745,7
Isaiah,23,44,722,2,Jeremiah,24,1,745,5
Jeremiah,24,20,764,11,Jeremiah,24,1,745,8
Jeremiah,24,20,764,11,Jeremiah,24,1,745,19
Luke,42,21,993,15,Jeremiah,24,1,745,9
Romans,45,8,1053,29,Jeremiah,24,1,745,5
Romans,45,8,1053,31,Jeremiah,24,1,745,19
2 Corinthians,47,10,1087,4,Jeremiah,24,1,745,10
Genesis,1,28,27,15,Genesis,1,31,30,3
Genesis,1,28,27,15,1 Kings,11,8,298,57
1 Samuel,9,16,251,7,1 Kings,11,8,298,39
1 Chronicles,13,28,365,9,1 Kings,11,8,298,61
Genesis,1,28,27,15,John,43,10,1006,28
Psalm,19,23,500,1,John,43,10,1006,11
Psalm,19,23,500,1,John,43,10,1006,27
Psalm,19,23,500,1,John,43,10,1006,14
Psalm,19,82,559,6,John,43,10,1006,34
Isaiah,23,45,723,17,John,43,10,1006,28
Isaiah,23,54,732,17,John,43,10,1006,28
Matthew,40,11,939,27,John,43,10,1006,15
John,43,1,997,1,John,43,10,1006,30
John,43,3,999,16,John,43,10,1006,28
John,43,10,1006,10,John,43,10,1006,1
John,43,14,1010,6,John,43,10,1006,9
John,43,14,1010,6,John,43,10,1006,28
John,43,15,1011,13,John,43,10,1006,11
Romans,45,8,1053,31,John,43,10,1006,28
Ephesians,49,3,1099,20,John,43,10,1006,29
Ephesians,49,3,1099,20,John,43,10,1006,10
2 Timothy,55,2,1126,19,John,43,10,1006,14
2 Timothy,55,2,1126,19,John,43,10,1006,27
Hebrews,58,3,1135,7,John,43,10,1006,27
Hebrews,58,3,1135,7,John,43,10,1006,3
1 Peter,60,5,1155,7,John,43,10,1006,13
Genesis,1,28,27,15,Isaiah,23,43,721,2
Deuteronomy,5,31,183,6,Isaiah,23,43,721,1
Joshua,6,1,187,9,Isaiah,23,43,721,1
Joshua,6,1,187,9,Isaiah,23,43,721,5
Psalm,19,23,500,4,Isaiah,23,43,721,1
Psalm,19,36,513,8,Isaiah,23,43,721,20
Psalm,19,51,528,1,Isaiah,23,43,721,25
Psalm,19,103,580,12,Isaiah,23,43,721,25
Isaiah,23,40,718,3,Isaiah,23,43,721,19
Isaiah,23,41,719,10,Isaiah,23,43,721,1
Isaiah,23,41,719,10,Isaiah,23,43,721,5
Isaiah,23,43,721,25,Isaiah,23,43,721,11
Isaiah,23,44,722,2,Isaiah,23,43,721,1
Isaiah,23,44,722,2,Isaiah,23,43,721,7
Isaiah,23,44,722,3,Isaiah,23,43,721,19
Isaiah,23,44,722,6,Isaiah,23,43,721,10
Isaiah,23,44,722,6,Isaiah,23,43,721,1
Isaiah,23,44,722,6,Isaiah,23,43,721,14
2 Corinthians,47,5,1082,17,Isaiah,23,43,721,18
2 Corinthians,47,12,1089,9,Isaiah,23,43,721,2
Revelation,66,1,1167,8,Isaiah,23,43,721,10
Genesis,1,50,49,20,Romans,45,8,1053,28
Joshua,6,23,209,10,Romans,45,8,1053,31
Psalm,19,25,502,3,Romans,45,8,1053,25
Isaiah,23,8,686,10,Romans,45,8,1053,31
Isaiah,23,40,718,31,Romans,45,8,1053,25
Isaiah,23,41,719,10,Romans,45,8,1053,31
Isaiah,23,44,722,2,Romans,45,8,1053,30
Isaiah,23,45,723,17,Romans,45,8,1053,1
Isaiah,23,54,732,17,Romans,45,8,1053,28
Isaiah,23,59,737,21,Romans,45,8,1053,9
Matthew,40,5,933,17,Romans,45,8,1053,4
Matthew,40,6,934,33,Romans,45,8,1053,31
John,43,1,997,12,Romans,45,8,1053,14
John,43,3,999,16,Romans,45,8,1053,32
John,43,8,1004,32,Romans,45,8,1053,2
John,43,8,1004,36,Romans,45,8,1053,2
Romans,45,8,1053,11,Romans,45,8,1053,9
Romans,45,8,1053,28,Romans,45,8,1053,35
Romans,45,8,1053,28,Romans,45,8,1053,30
1 Corinthians,46,2,1063,9,Romans,45,8,1053,28
2 Corinthians,47,3,1080,17,Romans,45,8,1053,2
2 Corinthians,47,3,1080,18,Romans,45,8,1053,29
2 Corinthians,47,4,1081,17,Romans,45,8,1053,18
2 Corinthians,47,4,1081,18,Romans,45,8,1053,24
2 Corinthians,47,5,1082,17,Romans,45,8,1053,9
2 Corinthians,47,6,1083,16,Romans,45,8,1053,11
Galatians,48,4,1094,6,Romans,45,8,1053,15
Ephesians,49,1,1097,4,Romans,45,8,1053,28
Ephesians,49,1,1097,5,Romans,45,8,1053,29
Ephesians,49,4,1100,23,Romans,45,8,1053,6
Ephesians,49,6,1102,12,Romans,45,8,1053,38
Philippians,50,1,1103,6,Romans,45,8,1053,28
Philippians,50,3,1105,10,Romans,45,8,1053,17
Colossians,51,1,1107,27,Romans,45,8,1053,10
Colossians,51,3,1109,1,Romans,45,8,1053,6
2 Timothy,55,1,1125,7,Romans,45,8,1053,15
Hebrews,58,7,1139,25,Romans,45,8,1053,34
Hebrews,58,11,1143,1,Romans,45,8,1053,24
Hebrews,58,13,1145,6,Romans,45,8,1053,31
James,59,1,1146,12,Romans,45,8,1053,28
James,59,4,1149,4,Romans,45,8,1053,7
1 John,62,2,1160,1,Romans,45,8,1053,34
1 John,62,4,1162,18,Romans,45,8,1053,15
Jude,65,1,1166,20,Romans,45,8,1053,26
Genesis,1,50,49,20,Psalm,19,119,596,71
Deuteronomy,5,4,156,9,Psalm,19,119,596,11
Joshua,6,1,187,8,Psalm,19,119,596,15
Joshua,6,1,187,8,Psalm,19,119,596,97
Joshua,6,1,187,8,Psalm,19,119,596,11
Joshua,6,1,187,8,Psalm,19,119,596,42
Psalm,19,1,478,1,Psalm,19,119,596,1
Psalm,19,1,478,2,Psalm,19,119,596,35
Psalm,19,1,478,2,Psalm,19,119,596,11
Psalm,19,1,478,2,Psalm,19,119,596,92
Psalm,19,3,480,3,Psalm,19,119,596,114
Psalm,19,19,496,7,Psalm,19,119,596,130
Psalm,19,34,511,8,Psalm,19,119,596,103
Psalm,19,119,596,130,Psalm,19,119,596,105
Jeremiah,24,15,759,16,Psalm,19,119,596,101
Jeremiah,24,15,759,16,Psalm,19,119,596,111
Jeremiah,24,29,773,13,Psalm,19,119,596,2
Luke,42,11,983,28,Psalm,19,119,596,1
John,43,15,1011,7,Psalm,19,119,596,11
Romans,45,12,1057,2,Psalm,19,119,596,47
Romans,45,12,1057,2,Psalm,19,119,596,128
Romans,45,12,1057,2,Psalm,19,119,596,174
Colossians,51,3,1109,16,Psalm,19,119,596,11
2 Timothy,55,1,1125,7,Psalm,19,119,596,80
2 Timothy,55,3,1127,16,Psalm,19,119,596,9
2 Timothy,55,3,1127,16,Psalm,19,119,596,130
2 Timothy,55,3,1127,16,Psalm,19,119,596,97
2 Timothy,55,3,1127,16,Psalm,19,119,596,11
Hebrews,58,4,1136,12,Psalm,19,119,596,130
Genesis,1,50,49,20,Genesis,1,45,44,5
Genesis,1,50,49,20,Acts,44,3,1020,26
Genesis,1,50,49,20,Acts,44,3,1020,13
Psalm,19,51,528,1,Acts,44,3,1020,19
Isaiah,23,43,721,25,Acts,44,3,1020,19
Matthew,40,9,937,13,Acts,44,3,1020,19
Acts,44,2,1019,38,Acts,44,3,1020,19
Genesis,1,50,49,20,Genesis,1,37,36,4
Genesis,1,50,49,20,Genesis,1,37,36,18
Genesis,1,50,49,20,Psalm,19,56,533,5
Psalm,19,34,511,4,Psalm,19,56,533,3
Psalm,19,118,595,6,Psalm,19,56,533,4
Psalm,19,118,595,6,Psalm,19,56,533,9
Psalm,19,118,595,6,Psalm,19,56,533,11
Romans,45,8,1053,31,Psalm,19,56,533,11
Romans,45,8,1053,31,Psalm,19,56,533,4
Hebrews,58,13,1145,6,Psalm,19,56,533,4
Hebrews,58,13,1145,6,Psalm,19,56,533,11
1 Peter,60,5,1155,7,Psalm,19,56,533,3
Genesis,1,50,49,20,Acts,44,2,1019,23
Psalm,19,16,493,11,Acts,44,2,1019,28
Psalm,19,110,587,1,Acts,44,2,1019,34
Isaiah,23,44,722,3,Acts,44,2,1019,17
Isaiah,23,44,722,3,Acts,44,2,1019,39
Isaiah,23,44,722,3,Acts,44,2,1019,33
Jeremiah,24,33,777,3,Acts,44,2,1019,21
Joel,29,2,877,28,Acts,44,2,1019,16
Mark,41,16,972,16,Acts,44,2,1019,38
Mark,41,16,972,16,Acts,44,2,1019,41
Acts,44,1,1018,8,Acts,44,2,1019,1
Acts,44,10,1027,38,Acts,44,2,1019,22
Romans,45,10,1055,13,Acts,44,2,1019,21
Hebrews,58,10,1142,25,Acts,44,2,1019,42
Exodus,2,3,52,14,John,43,8,1004,58
Job,18,22,457,28,John,43,8,1004,12
Isaiah,23,41,719,10,John,43,8,1004,54
Isaiah,23,61,739,1,John,43,8,1004,32
Mark,41,16,972,16,John,43,8,1004,24
John,43,1,997,4,John,43,8,1004,12
John,43,5,1001,19,John,43,8,1004,28
John,43,7,1003,6,John,43,8,1004,20
John,43,8,1004,32,John,43,8,1004,36
John,43,8,1004,36,John,43,8,1004,31
John,43,14,1010,6,John,43,8,1004,32
John,43,14,1010,6,John,43,8,1004,51
John,43,15,1011,7,John,43,8,1004,37
John,43,15,1011,8,John,43,8,1004,31
Galatians,48,5,1095,1,John,43,8,1004,32
1 John,62,1,1159,5,John,43,8,1004,12
1 John,62,3,1161,8,John,43,8,1004,44
Exodus,2,3,52,14,Exodus,2,6,55,3
Exodus,2,3,52,14,Revelation,66,1,1167,8
Isaiah,23,44,722,6,Revelation,66,1,1167,8
Daniel,27,7,856,13,Revelation,66,1,1167,7
Zechariah,38,12,922,10,Revelation,66,1,1167,7
Matthew,40,24,952,30,Revelation,66,1,1167,7
John,43,1,997,1,Revelation,66,1,1167,8
John,43,3,999,16,Revelation,66,1,1167,5
Romans,45,8,1053,29,Revelation,66,1,1167,5
Colossians,51,1,1107,18,Revelation,66,1,1167,5
1 Thessalonians,52,4,1114,16,Revelation,66,1,1167,7
Hebrews,58,4,1136,12,Revelation,66,1,1167,16
1 Peter,60,2,1152,9,Revelation,66,1,1167,6
Revelation,66,7,1173,14,Revelation,66,1,1167,5
Exodus,2,14,63,14,Deuteronomy,5,3,155,22
Joshua,6,23,209,10,Deuteronomy,5,3,155,22
Exodus,2,14,63,14,Deuteronomy,5,20,172,4
Deuteronomy,5,31,183,6,Deuteronomy,5,20,172,1
Joshua,6,1,187,9,Deuteronomy,5,20,172,1
Joshua,6,23,209,10,Deuteronomy,5,20,172,4
Isaiah,23,41,719,10,Deuteronomy,5,20,172,1
Ephesians,49,6,1102,10,Deuteronomy,5,20,172,3
Exodus,2,14,63,14,Joshua,6,23,209,3
Joshua,6,23,209,10,Joshua,6,23,209,3
Exodus,2,14,63,14,Deuteronomy,5,1,153,30
Deuteronomy,5,31,183,6,Deuteronomy,5,1,153,29
Exodus,2,14,63,14,Isaiah,23,30,708,15
Job,18,22,457,28,Isaiah,23,30,708,21
Psalm,19,27,504,14,Isaiah,23,30,708,18
Isaiah,23,40,718,31,Isaiah,23,30,708,18
Isaiah,23,48,726,17,Isaiah,23,30,708,20
Zechariah,38,4,914,6,Isaiah,23,30,708,1
Exodus,2,14,63,14,Nehemiah,16,4,416,20
Exodus,2,15,64,2,Isaiah,23,12,690,2
Psalm,19,34,511,4,Isaiah,23,12,690,2
Proverbs,20,3,630,5,Isaiah,23,12,690,2
Isaiah,23,41,719,10,Isaiah,23,12,690,2
John,43,7,1003,38,Isaiah,23,12,690,3
Exodus,2,15,64,26,Deuteronomy,5,7,159,15
Deuteronomy,5,4,156,34,Deuteronomy,5,7,159,19
Deuteronomy,5,8,160,18,Deuteronomy,5,7,159,8
Deuteronomy,5,8,160,18,Deuteronomy,5,7,159,12
Deuteronomy,5,31,183,6,Deuteronomy,5,7,159,18
1 Peter,60,2,1152,9,Deuteronomy,5,7,159,6
Exodus,2,15,64,26,Psalm,19,103,580,3
Exodus,2,34,83,6,Psalm,19,103,580,8
Isaiah,23,40,718,31,Psalm,19,103,580,5
Isaiah,23,45,723,17,Psalm,19,103,580,17
Exodus,2,20,69,2,Hosea,28,13,874,4
2 Kings,12,8,320,12,Hosea,28,13,874,16
Exodus,2,20,69,2,Psalm,19,81,558,10
Psalm,19,1,478,1,Psalm,19,81,558,12
Hebrews,58,3,1135,7,Psalm,19,81,558,13
Hebrews,58,3,1135,7,Psalm,19,81,558,11
Exodus,2,20,69,3,Deuteronomy,5,5,157,7
Deuteronomy,5,4,156,34,Deuteronomy,5,5,157,15
Joshua,6,1,187,8,Deuteronomy,5,5,157,29
Joshua,6,1,187,8,Deuteronomy,5,5,157,32
Isaiah,23,30,708,21,Deuteronomy,5,5,157,32
Exodus,2,20,69,4,Leviticus,3,26,115,1
Deuteronomy,5,32,184,30,Leviticus,3,26,115,8
Joshua,6,23,209,10,Leviticus,3,26,115,8
Psalm,19,1,478,1,Leviticus,3,26,115,27
Joel,29,2,877,23,Leviticus,3,26,115,4
2 Corinthians,47,6,1083,16,Leviticus,3,26,115,12
Galatians,48,6,1096,9,Leviticus,3,26,115,4
Exodus,2,20,69,5,Numbers,4,14,130,18
Exodus,2,34,83,6,Numbers,4,14,130,17
Psalm,19,57,534,5,Numbers,4,14,130,21
Romans,45,8,1053,31,Numbers,4,14,130,9
Exodus,2,20,69,7,Leviticus,3,19,108,12
Matthew,40,18,946,15,Leviticus,3,19,108,17
Matthew,40,22,950,39,Leviticus,3,19,108,18
Luke,42,10,982,27,Leviticus,3,19,108,18
John,43,13,1009,34,Leviticus,3,19,108,18
1 Peter,60,1,1151,16,Leviticus,3,19,108,2
Exodus,2,34,83,6,Joel,29,2,877,13
Isaiah,23,44,722,3,Joel,29,2,877,28
Isaiah,23,45,723,17,Joel,29,2,877,26
Jeremiah,24,29,773,11,Joel,29,2,877,28
Jeremiah,24,29,773,13,Joel,29,2,877,12
Romans,45,9,1054,33,Joel,29,2,877,26
Romans,45,10,1055,13,Joel,29,2,877,32
Exodus,2,34,83,6,Psalm,19,86,563,15
Exodus,2,34,83,6,Psalm,19,86,563,5
Lamentations,25,3,799,22,Psalm,19,86,563,15
Jonah,32,4,892,2,Psalm,19,86,563,15
Exodus,2,34,83,6,Psalm,19,145,622,8
Psalm,19,31,508,19,Psalm,19,145,622,7
Psalm,19,34,511,18,Psalm,19,145,622,18
Psalm,19,37,514,4,Psalm,19,145,622,19
Psalm,19,37,514,17,Psalm,19,145,622,14
Psalm,19,37,514,24,Psalm,19,145,622,14
Psalm,19,46,523,1,Psalm,19,145,622,18
Isaiah,23,41,719,10,Psalm,19,145,622,14
Matthew,40,5,933,45,Psalm,19,145,622,9
John,43,9,1005,31,Psalm,19,145,622,19
James,59,4,1149,8,Psalm,19,145,622,18
Exodus,2,34,83,6,Jonah,32,4,892,2
Exodus,2,34,83,6,2 Chronicles,14,30,396,9
Exodus,2,34,83,6,Psalm,19,138,615,2
Psalm,19,23,500,4,Psalm,19,138,615,7
Isaiah,23,40,718,31,Psalm,19,138,615,3
Philippians,50,1,1103,6,Psalm,19,138,615,8
James,59,4,1149,6,Psalm,19,138,615,6
Exodus,2,34,83,6,Romans,45,2,1047,4
Isaiah,23,45,723,17,Romans,45,2,1047,28
Matthew,40,7,935,1,Romans,45,2,1047,1
Matthew,40,7,935,21,Romans,45,2,1047,13
Matthew,40,16,944,27,Romans,45,2,1047,6
Luke,42,11,983,9,Romans,45,2,1047,7
Galatians,48,6,1096,7,Romans,45,2,1047,6
Galatians,48,6,1096,9,Romans,45,2,1047,7
James,59,1,1146,22,Romans,45,2,1047,13
Leviticus,3,1,90,3,Hebrews,58,9,1141,14
Leviticus,3,1,90,3,Deuteronomy,5,15,167,21
Leviticus,3,18,107,22,Leviticus,3,20,109,13
John,43,8,1004,5,Leviticus,3,20,109,10
1 Corinthians,46,6,1067,9,Leviticus,3,20,109,13
1 Peter,60,1,1151,16,Leviticus,3,20,109,7
Leviticus,3,26,115,12,2 Corinthians,47,6,1083,16
1 Kings,11,18,308,21,2 Corinthians,47,6,1083,14
Amos,30,3,881,3,2 Corinthians,47,6,1083,14
Luke,42,11,983,9,2 Corinthians,47,6,1083,2
John,43,1,997,12,2 Corinthians,47,6,1083,17
Romans,45,12,1057,2,2 Corinthians,47,6,1083,14
1 Corinthians,46,6,1067,19,2 Corinthians,47,6,1083,16
Hebrews,58,3,1135,7,2 Corinthians,47,6,1083,1
Revelation,66,21,1187,3,2 Corinthians,47,6,1083,16
Leviticus,3,26,115,12,Jeremiah,24,30,774,22
Isaiah,23,58,736,8,Jeremiah,24,30,774,17
Jeremiah,24,29,773,11,Jeremiah,24,30,774,18
Jeremiah,24,30,774,18,Jeremiah,24,30,774,3
Jeremiah,24,31,775,33,Jeremiah,24,30,774,22
Numbers,4,23,139,19,Hebrews,58,6,1138,18
Psalm,19,34,511,8,Hebrews,58,6,1138,4
1 Corinthians,46,15,1076,58,Hebrews,58,6,1138,10
Hebrews,58,5,1137,12,Hebrews,58,6,1138,1
Hebrews,58,11,1143,1,Hebrews,58,6,1138,18
Hebrews,58,11,1143,1,Hebrews,58,6,1138,12
Numbers,4,23,139,19,1 Samuel,9,15,250,29
Micah,33,6,898,8,1 Samuel,9,15,250,22
Numbers,4,23,139,19,Malachi,39,3,927,6
Isaiah,23,40,718,3,Malachi,39,3,927,1
Matthew,40,11,939,10,Malachi,39,3,927,1
Hebrews,58,13,1145,8,Malachi,39,3,927,6
James,59,4,1149,8,Malachi,39,3,927,7
Numbers,4,23,139,19,Titus,56,1,1129,2
Matthew,40,24,952,35,Titus,56,1,1129,2
Philippians,50,4,1106,8,Titus,56,1,1129,8
1 Timothy,54,1,1119,1,Titus,56,1,1129,3
2 Timothy,55,1,1125,13,Titus,56,1,1129,9
Hebrews,58,11,1143,1,Titus,56,1,1129,1
Revelation,66,13,1179,8,Titus,56,1,1129,2
Numbers,4,23,139,19,Habakkuk,35,2,904,3
Psalm,19,27,504,14,Habakkuk,35,2,904,3
Psalm,19,46,523,10,Habakkuk,35,2,904,20
Psalm,19,57,534,5,Habakkuk,35,2,904,14
Obadiah,31,1,888,15,Habakkuk,35,2,904,8
Romans,45,1,1046,17,Habakkuk,35,2,904,4
2 Peter,61,3,1158,9,Habakkuk,35,2,904,3
Deuteronomy,5,4,156,9,Deuteronomy,5,6,158,7
Deuteronomy,5,10,162,12,Deuteronomy,5,6,158,5
Joshua,6,1,187,8,Deuteronomy,5,6,158,6
1 Samuel,9,7,242,3,Deuteronomy,5,6,158,13
Isaiah,23,44,722,6,Deuteronomy,5,6,158,4
Matthew,40,4,932,7,Deuteronomy,5,6,158,16
Matthew,40,22,950,37,Deuteronomy,5,6,158,5
Luke,42,10,982,27,Deuteronomy,5,6,158,5
John,43,15,1011,7,Deuteronomy,5,6,158,6
Romans,45,8,1053,28,Deuteronomy,5,6,158,5
Deuteronomy,5,4,156,9,Deuteronomy,5,11,163,19
Joshua,6,1,187,3,Deuteronomy,5,11,163,24
Joshua,6,1,187,8,Deuteronomy,5,11,163,18
Galatians,48,6,1096,9,Deuteronomy,5,11,163,14
Deuteronomy,5,4,156,9,Genesis,1,18,17,19
Jeremiah,24,32,776,17,Genesis,1,18,17,14
Amos,30,3,881,7,Genesis,1,18,17,17
Luke,42,1,973,37,Genesis,1,18,17,14
Hebrews,58,11,1143,11,Genesis,1,18,17,11
Deuteronomy,5,4,156,9,Deuteronomy,5,32,184,46
Joshua,6,23,209,10,Deuteronomy,5,32,184,30
Proverbs,20,20,647,22,Deuteronomy,5,32,184,35
Isaiah,23,44,722,6,Deuteronomy,5,32,184,39
Isaiah,23,50,728,1,Deuteronomy,5,32,184,30
Jeremiah,24,6,750,16,Deuteronomy,5,32,184,7
Romans,45,12,1057,19,Deuteronomy,5,32,184,35
Deuteronomy,5,4,156,9,Ephesians,49,6,1102,4
